Rk,Pos,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,Pos,90s,CrdY,CrdR,2CrdY,Fls,Off,Crs,Int,TklW,PKcon,OG,Recov,Won,Lost,Won%
1284,DF,10.8,23,17,13,8,2,12,22,54.5,10,18,2,16,5,28,30,0,1284,DF,10.8,0,0,0,18,0,21,5,17,0,0,60,10,11,47.6
1285,DF,4.2,5,1,2,3,0,1,2,50.0,1,4,3,1,1,6,12,1,1285,DF,4.2,0,0,0,1,0,5,1,1,0,0,15,3,8,27.3
1286,MF,17.2,53,36,22,22,9,28,52,53.8,24,24,5,19,18,71,7,0,1286,MF,17.2,3,0,0,39,2,11,18,36,0,0,75,3,16,15.8
1288,MF,18.4,43,29,16,21,6,24,47,51.1,23,21,7,14,21,64,16,0,1288,MF,18.4,7,1,0,35,0,2,21,29,0,0,97,19,25,43.2
1289,DF,24.7,45,32,26,13,6,25,38,65.8,13,29,2,27,26,71,66,0,1289,DF,24.7,4,0,0,21,6,71,26,32,0,0,130,16,14,53.3
1290,DF,3.7,3,1,1,2,0,1,3,33.3,2,6,3,3,4,7,14,1,1290,DF,3.7,1,0,0,4,0,0,4,1,0,0,12,6,2,75.0
1293,MF,15.1,19,8,8,9,2,10,21,47.6,11,19,7,12,11,30,14,1,1293,MF,15.1,3,0,0,16,0,11,11,8,1,0,102,3,10,23.1
1298,MF,29.1,72,44,23,38,11,29,60,48.3,31,37,8,29,27,99,43,0,1298,MF,29.1,9,0,0,28,0,4,27,44,0,0,174,44,38,53.7
1299,MF,9.9,18,14,9,9,0,12,19,63.2,7,19,2,17,6,24,9,1,1299,MF,9.9,1,0,0,10,0,1,6,14,0,0,50,2,7,22.2
1300,DF,19.8,45,27,23,14,8,21,33,63.6,12,42,11,31,13,58,43,0,1300,DF,19.8,4,0,0,17,5,52,13,27,0,0,76,21,16,56.8
1304,DF,13.2,25,18,11,8,6,16,24,66.7,8,13,4,9,9,34,16,0,1304,DF,13.2,2,0,0,9,0,28,9,18,0,0,50,5,2,71.4
1305,"MF,DF",16.4,23,14,8,9,6,9,20,45.0,11,13,4,9,8,31,9,0,1305,"MF,DF",16.4,5,0,0,18,3,38,8,14,0,0,85,24,36,40.0
1307,DF,11.6,26,20,16,8,2,16,25,64.0,9,20,4,16,8,34,18,0,1307,DF,11.6,4,0,0,19,2,45,8,20,1,0,58,11,15,42.3
1309,DF,22.9,53,30,27,15,11,35,48,72.9,13,25,12,13,18,71,46,2,1309,DF,22.9,2,0,0,14,2,66,18,30,0,0,105,17,18,48.6
1311,DF,4.9,7,3,3,3,1,1,7,14.3,6,5,4,1,5,12,18,1,1311,DF,4.9,2,0,0,5,0,0,5,3,1,0,26,16,11,59.3
1312,MF,0.1,1,1,0,1,0,0,0,,0,1,0,1,1,2,0,0,1312,MF,0.1,1,0,0,1,0,0,1,1,0,0,5,3,2,60.0
