Rk,Pos,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,Pos,90s,CrdY,CrdR,2CrdY,Fls,Off,Crs,Int,TklW,PKcon,OG,Recov,Won,Lost,Won%
1618,MF,20.2,40,22,13,23,4,19,29,65.5,10,16,4,12,6,46,30,2,1618,MF,20.2,3,0,0,28,1,98,6,22,0,0,91,12,12,50.0
1620,DF,19.6,22,8,15,6,1,10,27,37.0,17,26,13,13,30,52,106,4,1620,DF,19.6,0,1,0,21,1,0,30,8,0,0,81,47,38,55.3
1621,DF,35.3,70,42,44,24,2,35,53,66.0,18,39,19,20,44,114,147,2,1621,DF,35.3,6,1,1,23,3,5,44,42,3,1,187,31,34,47.7
1624,DF,17.1,19,11,10,7,2,11,17,64.7,6,29,19,10,17,36,58,1,1624,DF,17.1,1,0,0,3,2,0,17,11,0,0,96,24,22,52.2
1626,MF,8.1,13,7,7,3,3,6,18,33.3,12,4,1,3,4,17,7,1,1626,MF,8.1,1,0,0,10,0,1,4,7,0,0,51,6,5,54.5
1627,MF,27.3,70,43,32,34,4,37,67,55.2,30,65,19,46,43,113,80,0,1627,MF,27.3,6,0,0,52,2,19,43,43,1,0,152,70,54,56.5
1630,DF,15.3,21,10,7,10,4,9,22,40.9,13,12,4,8,9,30,15,0,1630,DF,15.3,4,1,1,23,2,106,9,10,0,0,48,8,11,42.1
1631,MF,30.3,44,25,22,15,7,22,57,38.6,35,25,3,22,21,65,14,0,1631,MF,30.3,5,0,0,27,4,10,21,25,1,0,146,8,24,25.0
1632,DF,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,1632,DF,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
1633,MF,13.4,43,27,17,24,2,21,36,58.3,15,16,2,14,9,52,28,2,1633,MF,13.4,5,0,0,27,1,7,9,27,0,0,109,25,15,62.5
1634,MF,0.2,5,1,0,2,3,3,4,75.0,1,2,1,1,0,5,0,0,1634,MF,0.2,0,0,0,1,0,0,0,1,0,0,2,0,0,
1637,DF,13.8,25,16,17,6,2,15,32,46.9,17,15,5,10,10,35,41,3,1637,DF,13.8,5,0,0,14,1,7,10,16,0,0,65,10,13,43.5
1639,DF,14.4,10,7,9,1,0,6,8,75.0,2,13,10,3,11,21,50,0,1639,DF,14.4,5,0,0,10,1,3,11,7,0,0,69,33,27,55.0
1642,DF,7.2,12,8,8,4,0,5,12,41.7,7,10,8,2,5,17,26,0,1642,DF,7.2,3,0,0,6,0,2,5,8,0,1,33,4,5,44.4
1644,DF,25.5,75,47,43,28,4,36,54,66.7,18,38,14,24,30,105,69,4,1644,DF,25.5,9,0,0,41,1,5,30,47,0,0,141,49,55,47.1
1645,DF,34.4,45,31,24,19,2,27,49,55.1,22,27,7,20,29,74,63,2,1645,DF,34.4,3,1,0,24,4,44,29,31,1,0,154,32,33,49.2
1647,MF,17.5,33,16,16,17,0,18,35,51.4,17,24,8,16,31,64,30,1,1647,MF,17.5,8,1,1,31,0,4,31,16,0,1,103,30,24,55.6
1648,DF,0.7,4,0,2,2,0,2,4,50.0,2,2,1,1,2,6,5,0,1648,DF,0.7,2,0,0,3,0,0,2,0,0,0,5,4,1,80.0
1649,DF,11.4,17,12,8,8,1,5,20,25.0,15,12,6,6,11,28,30,0,1649,DF,11.4,0,0,0,18,0,4,11,12,1,0,49,22,14,61.1
1650,"DF,MF",24.7,64,40,37,22,5,37,70,52.9,33,32,10,22,25,89,75,2,1650,"DF,MF",24.7,7,0,0,22,0,5,25,40,0,1,117,35,53,39.8
1651,"MF,DF",0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,1651,"MF,DF",0.2,0,0,0,0,0,2,0,1,0,0,1,0,1,0.0
1653,DF,24.7,43,24,29,8,6,23,40,57.5,17,35,16,19,40,83,61,0,1653,DF,24.7,6,0,0,29,1,52,40,24,0,0,145,27,27,50.0
1655,MF,23.0,34,24,11,17,6,15,36,41.7,21,21,5,16,31,65,28,1,1655,MF,23.0,9,0,0,32,0,25,31,24,0,0,144,24,27,47.1
1656,MF,1.1,3,1,0,3,0,2,4,50.0,2,1,1,0,3,6,0,0,1656,MF,1.1,2,0,0,5,0,1,3,1,0,0,12,4,1,80.0
1658,MF,11.4,19,10,7,9,3,9,12,75.0,3,15,7,8,27,46,19,0,1658,MF,11.4,7,0,0,14,1,5,27,10,0,0,106,19,12,61.3
1659,MF,13.9,17,11,8,7,2,9,19,47.4,10,17,6,11,16,33,17,1,1659,MF,13.9,2,0,0,8,0,4,16,11,0,1,103,20,10,66.7
1660,DF,8.7,12,6,7,4,1,8,12,66.7,4,16,12,4,9,21,43,0,1660,DF,8.7,2,0,0,7,1,0,9,6,0,1,58,28,10,73.7
1661,MF,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1661,MF,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1662,DF,13.1,18,11,11,7,0,10,18,55.6,8,14,10,4,13,31,74,1,1662,DF,13.1,2,0,0,12,1,0,13,11,3,0,67,23,13,63.9
1663,DF,3.3,9,7,5,3,1,2,7,28.6,5,4,1,3,4,13,4,0,1663,DF,3.3,2,0,0,10,0,0,4,7,1,0,23,10,8,55.6
1666,DF,1.2,1,1,1,0,0,1,1,100.0,0,6,3,3,2,3,4,0,1666,DF,1.2,0,0,0,0,0,0,2,1,0,1,6,3,2,60.0
1667,MF,15.4,39,27,17,19,3,22,32,68.8,10,21,3,18,33,72,32,1,1667,MF,15.4,3,0,0,16,0,0,33,27,0,0,117,25,15,62.5
1668,MF,8.8,7,3,3,4,0,4,7,57.1,3,9,2,7,11,18,17,0,1668,MF,8.8,2,0,0,8,0,1,11,3,0,0,38,13,8,61.9
1672,DF,16.7,28,16,17,9,2,17,21,81.0,4,21,13,8,23,51,79,3,1672,DF,16.7,2,0,0,15,0,1,23,16,0,2,70,44,23,65.7
1673,DF,12.4,22,15,14,4,4,9,23,39.1,14,22,11,11,22,44,41,1,1673,DF,12.4,3,0,0,13,0,4,22,15,0,0,76,19,27,41.3
1674,DF,15.0,26,17,6,18,2,19,26,73.1,7,18,1,17,7,33,18,2,1674,DF,15.0,2,0,0,7,2,59,7,17,1,0,65,12,16,42.9
1677,MF,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1677,MF,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,
1681,DF,13.3,32,21,14,11,7,13,21,61.9,8,14,1,13,20,52,27,1,1681,DF,13.3,3,0,0,10,0,19,20,21,0,0,63,19,21,47.5
1682,MF,24.6,45,23,15,24,6,26,49,53.1,23,23,7,16,19,64,62,0,1682,MF,24.6,6,1,1,45,1,42,19,23,0,0,128,41,38,51.9
1683,DF,14.1,25,19,14,10,1,16,29,55.2,13,14,6,8,5,30,31,0,1683,DF,14.1,4,0,0,23,3,42,5,19,0,0,72,6,26,18.8
1684,DF,4.8,5,2,1,2,2,2,3,66.7,1,5,1,4,1,6,13,0,1684,DF,4.8,0,1,0,9,0,14,1,2,0,0,21,12,7,63.2
1685,DF,22.7,51,39,25,18,8,23,40,57.5,17,29,9,20,24,75,48,0,1685,DF,22.7,5,0,0,45,2,101,24,39,0,0,119,26,15,63.4
1686,MF,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1686,MF,0.2,0,0,0,1,0,1,1,0,0,0,1,0,0,
1687,"MF,DF",0.5,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,1687,"MF,DF",0.5,0,0,0,1,0,1,0,0,0,0,1,0,0,
1690,DF,3.2,6,3,3,3,0,2,5,40.0,3,10,7,3,5,11,26,0,1690,DF,3.2,2,0,0,6,0,0,5,3,1,0,10,9,5,64.3
1691,DF,24.5,33,21,25,7,1,17,30,56.7,13,21,13,8,13,46,95,1,1691,DF,24.5,1,0,0,21,2,15,13,21,0,1,102,40,32,55.6
1692,MF,0.2,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,1692,MF,0.2,0,0,0,0,0,2,0,1,0,0,1,0,0,
1698,MF,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1698,MF,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1700,MF,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,1700,MF,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,
1702,DF,4.6,4,0,3,1,0,2,3,66.7,1,6,4,2,5,9,27,0,1702,DF,4.6,0,0,0,3,0,0,5,0,0,0,25,20,3,87.0
1703,"MF,DF",28.8,48,29,31,11,6,17,27,63.0,10,28,7,21,18,66,69,0,1703,"MF,DF",28.8,6,0,0,23,6,59,18,29,0,0,115,37,34,52.1
1706,DF,30.2,64,38,25,31,8,44,69,63.8,25,38,13,25,24,88,59,2,1706,DF,30.2,11,0,0,51,2,20,24,38,0,0,229,37,22,62.7
1707,DF,14.1,26,15,12,12,2,17,22,77.3,5,21,13,8,13,39,63,1,1707,DF,14.1,1,1,0,7,1,5,13,15,0,0,67,35,32,52.2
1708,MF,16.5,28,21,10,14,4,11,27,40.7,16,21,2,19,33,61,15,0,1708,MF,16.5,3,0,0,20,8,18,33,21,0,0,82,13,13,50.0
1709,DF,7.1,16,10,13,3,0,8,12,66.7,4,11,5,6,11,27,35,0,1709,DF,7.1,1,0,0,10,0,4,11,10,1,0,37,22,9,71.0
1710,DF,1.6,2,1,2,0,0,0,1,0.0,1,3,2,1,3,5,9,0,1710,DF,1.6,0,0,0,0,0,0,3,1,0,0,6,1,2,33.3
1712,MF,1.2,3,3,1,2,0,0,1,0.0,1,1,0,1,0,3,0,0,1712,MF,1.2,2,0,0,4,0,2,0,3,0,0,6,0,1,0.0
1715,DF,0.2,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,1715,DF,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0
1716,MF,22.1,45,30,17,24,4,26,42,61.9,16,27,3,24,18,63,8,0,1716,MF,22.1,2,0,0,18,0,21,18,30,0,0,141,7,7,50.0
1718,DF,4.4,16,13,11,5,0,8,16,50.0,8,4,2,2,1,17,17,1,1718,DF,4.4,0,0,0,6,1,4,1,13,0,0,23,7,5,58.3
1719,DF,3.0,5,5,4,1,0,4,7,57.1,3,4,0,4,4,9,2,0,1719,DF,3.0,3,0,0,6,0,7,4,5,0,0,14,6,2,75.0
1720,MF,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1720,MF,0.1,0,0,0,0,0,0,0,0,0,0,2,0,0,
1722,DF,14.8,36,17,19,12,5,21,37,56.8,16,24,6,18,26,62,45,0,1722,DF,14.8,4,0,0,14,0,8,26,17,0,0,65,20,17,54.1
1723,MF,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,1723,MF,0.1,0,0,0,1,0,0,1,1,0,0,1,1,0,100.0
1724,MF,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1724,MF,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1725,DF,4.6,7,5,4,3,0,3,7,42.9,4,4,1,3,8,15,16,0,1725,DF,4.6,0,0,0,4,0,4,8,5,1,0,22,7,12,36.8
1726,DF,7.9,3,1,2,1,0,1,5,20.0,4,8,2,6,7,10,20,0,1726,DF,7.9,3,0,0,12,4,96,7,1,0,0,31,4,7,36.4
1727,DF,19.1,15,10,12,2,1,11,14,78.6,3,12,2,10,13,28,26,1,1727,DF,19.1,5,0,0,17,0,5,13,10,0,0,97,6,5,54.5
1728,DF,14.0,33,19,24,8,1,20,33,60.6,13,23,12,11,20,53,59,1,1728,DF,14.0,6,0,0,16,0,13,20,19,2,1,90,43,15,74.1
1729,MF,11.7,29,18,10,13,6,16,20,80.0,4,11,4,7,14,43,14,1,1729,MF,11.7,2,0,0,16,0,7,14,18,0,0,91,10,5,66.7
1730,DF,27.4,54,22,33,20,1,19,30,63.3,11,39,27,12,57,111,140,1,1730,DF,27.4,3,0,0,35,1,2,57,22,1,0,126,60,43,58.3
1731,DF,6.9,12,11,9,3,0,9,14,64.3,5,13,6,7,7,19,30,1,1731,DF,6.9,2,0,0,15,0,1,7,11,0,0,31,29,20,59.2
1732,DF,7.5,8,7,6,2,0,4,7,57.1,3,5,3,2,8,16,33,0,1732,DF,7.5,0,0,0,1,0,1,8,7,0,0,38,8,11,42.1
1734,MF,27.6,77,43,25,34,18,22,48,45.8,26,36,11,25,16,93,55,3,1734,MF,27.6,10,0,0,70,6,19,16,43,1,0,197,164,107,60.5
1735,DF,7.8,13,12,7,5,1,8,20,40.0,12,4,0,4,6,19,14,0,1735,DF,7.8,1,0,0,10,0,40,6,12,0,0,38,2,10,16.7
1736,DF,14.3,29,20,15,12,2,16,25,64.0,9,22,1,21,18,47,22,0,1736,DF,14.3,0,0,0,10,3,63,18,20,0,0,88,7,10,41.2
1737,"MF,DF",11.7,26,20,19,5,2,8,19,42.1,11,9,1,8,5,31,22,0,1737,"MF,DF",11.7,0,0,0,7,5,24,5,20,0,0,54,15,24,38.5
1738,DF,6.5,5,1,3,2,0,3,13,23.1,10,8,2,6,4,9,22,0,1738,DF,6.5,0,0,0,10,0,17,4,1,0,0,43,7,6,53.8
1739,DF,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1739,DF,0.1,0,1,0,1,0,0,0,0,0,0,1,0,0,
1746,DF,27.9,41,21,24,14,3,22,36,61.1,14,22,14,8,27,68,95,1,1746,DF,27.9,4,0,0,30,0,0,27,21,1,0,108,111,28,79.9
1747,MF,13.4,33,21,6,20,7,15,32,46.9,17,20,3,17,8,41,18,2,1747,MF,13.4,1,0,0,5,2,11,8,21,0,0,78,11,12,47.8
1750,DF,5.5,7,3,4,3,0,6,9,66.7,3,4,3,1,4,11,19,1,1750,DF,5.5,0,0,0,5,2,1,4,3,0,0,19,11,13,45.8
1751,MF,23.5,57,33,19,28,10,28,47,59.6,19,20,1,19,32,89,10,0,1751,MF,23.5,6,0,0,43,1,102,32,33,0,0,174,28,25,52.8
1753,"DF,MF",8.6,20,14,9,10,1,9,14,64.3,5,9,0,9,8,28,16,0,1753,"DF,MF",8.6,3,0,0,10,3,29,8,14,1,0,45,6,13,31.6
1756,DF,21.9,37,24,21,11,5,12,24,50.0,12,29,19,10,45,82,70,2,1756,DF,21.9,3,0,0,19,1,2,45,24,0,0,143,75,29,72.1
1757,"DF,MF",0.5,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,1757,"DF,MF",0.5,1,0,0,3,0,0,0,1,0,0,6,1,0,100.0
1758,DF,13.5,20,13,14,6,0,13,19,68.4,6,23,14,9,4,24,77,0,1758,DF,13.5,4,0,0,17,0,2,4,13,1,0,57,35,14,71.4
1759,MF,23.5,34,17,10,13,11,16,54,29.6,38,29,1,28,11,45,8,0,1759,MF,23.5,4,0,0,30,5,32,11,17,0,0,115,6,13,31.6
1760,"DF,MF",10.9,29,16,19,6,4,17,34,50.0,17,17,4,13,8,37,27,0,1760,"DF,MF",10.9,1,1,0,4,0,26,8,16,1,0,50,10,13,43.5
1761,DF,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1761,DF,0.3,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0
1762,"DF,MF",33.3,62,38,44,11,7,37,80,46.3,43,38,7,31,17,79,49,2,1762,"DF,MF",33.3,4,0,0,21,1,148,17,38,1,0,164,16,18,47.1
1763,DF,33.2,47,30,39,6,2,23,40,57.5,17,32,16,16,45,92,132,4,1763,DF,33.2,5,0,0,32,0,3,45,30,0,0,136,56,55,50.5
1765,MF,0.4,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,1765,MF,0.4,0,0,0,0,0,0,0,0,0,0,4,0,0,
1767,DF,20.6,38,24,21,13,4,17,31,54.8,14,31,6,25,19,57,62,0,1767,DF,20.6,8,0,0,21,3,62,19,24,1,0,83,26,27,49.1
1768,DF,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1768,DF,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,
1770,MF,12.3,18,14,6,8,4,10,26,38.5,16,10,1,9,7,25,6,0,1770,MF,12.3,3,0,0,22,1,32,7,14,0,0,73,3,12,20.0
1771,DF,3.0,6,3,2,4,0,4,11,36.4,7,3,2,1,4,10,8,0,1771,DF,3.0,0,0,0,1,0,5,4,3,0,0,8,6,1,85.7
1772,"DF,MF",35.6,105,60,75,21,9,43,60,71.7,17,63,10,53,26,131,104,0,1772,"DF,MF",35.6,6,0,0,22,1,69,26,60,0,0,208,21,26,44.7
1776,DF,7.8,9,3,7,2,0,4,8,50.0,4,3,2,1,6,15,26,0,1776,DF,7.8,3,0,0,13,0,0,6,3,1,0,27,11,20,35.5
1777,DF,23.4,91,51,46,39,6,53,89,59.6,36,36,6,30,46,137,65,0,1777,DF,23.4,5,0,0,28,1,105,46,51,0,0,140,30,20,60.0
1778,MF,30.9,62,34,18,35,9,24,49,49.0,25,23,4,19,29,91,43,0,1778,MF,30.9,4,0,0,35,3,32,29,34,0,0,182,15,16,48.4
1779,MF,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1779,MF,0.1,0,0,0,0,0,0,0,0,0,0,2,0,0,
1780,"MF,DF",6.9,19,10,9,5,5,9,18,50.0,9,8,2,6,2,21,12,0,1780,"MF,DF",6.9,2,0,0,8,2,6,2,10,0,0,40,3,5,37.5
1781,MF,18.8,22,15,10,6,6,9,25,36.0,16,13,4,9,21,43,9,0,1781,MF,18.8,2,0,0,19,2,90,21,15,0,0,92,8,8,50.0
1786,DF,22.7,30,22,11,15,4,16,25,64.0,9,15,2,13,21,51,40,2,1786,DF,22.7,1,0,0,22,0,116,21,22,0,0,168,15,14,51.7
1788,DF,20.6,38,22,16,18,4,26,54,48.1,28,19,3,16,9,47,36,1,1788,DF,20.6,4,1,0,20,7,87,9,22,0,0,122,7,11,38.9
1790,MF,20.0,27,18,14,10,3,17,42,40.5,25,31,5,26,15,42,21,0,1790,MF,20.0,2,1,0,24,0,90,15,18,0,0,98,16,14,53.3
1791,DF,0.1,1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,0,0,1791,DF,0.1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0
1792,DF,16.3,23,13,14,7,2,12,26,46.2,14,22,18,4,8,31,63,0,1792,DF,16.3,1,0,0,10,1,5,8,13,1,0,77,41,28,59.4
1793,DF,19.9,22,13,13,9,0,9,18,50.0,9,21,9,12,11,33,94,0,1793,DF,19.9,5,0,0,22,2,3,11,13,0,0,64,59,24,71.1
1794,DF,8.9,22,19,12,8,2,16,29,55.2,13,8,3,5,9,31,31,1,1794,DF,8.9,5,0,0,6,2,16,9,19,1,0,42,12,8,60.0
1797,MF,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1797,MF,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,
1800,DF,16.5,31,21,19,10,2,10,30,33.3,20,12,2,10,24,55,33,0,1800,DF,16.5,5,2,2,24,5,49,24,21,0,0,76,10,13,43.5
1801,DF,11.5,18,12,18,0,0,12,19,63.2,7,11,2,9,13,31,37,0,1801,DF,11.5,2,0,0,11,2,37,13,12,0,1,40,4,10,28.6
1803,DF,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,1803,DF,0.2,0,0,0,0,0,1,0,0,0,0,1,1,1,50.0
1804,DF,1.2,2,2,1,1,0,2,4,50.0,2,3,1,2,1,3,3,0,1804,DF,1.2,0,0,0,3,1,1,1,2,0,0,7,2,2,50.0
1806,MF,17.9,50,29,23,26,1,23,53,43.4,30,13,1,12,20,70,21,0,1806,MF,17.9,2,0,0,15,0,17,20,29,0,0,125,17,13,56.7
1807,MF,9.3,21,16,8,12,1,8,15,53.3,7,14,1,13,7,28,10,0,1807,MF,9.3,0,0,0,11,0,13,7,16,0,0,46,4,13,23.5
1809,DF,34.2,57,34,36,18,3,25,39,64.1,14,42,23,19,36,93,137,2,1809,DF,34.2,2,0,0,25,0,1,36,34,1,0,147,52,66,44.1
1810,DF,13.7,27,13,18,7,2,12,15,80.0,3,12,2,10,17,44,65,0,1810,DF,13.7,4,0,0,14,0,7,17,13,0,0,72,26,8,76.5
1816,MF,12.3,38,20,14,17,7,17,37,45.9,20,16,3,13,11,49,13,0,1816,MF,12.3,2,0,0,21,1,2,11,20,1,0,74,8,16,33.3
1817,DF,1.0,4,1,4,0,0,1,1,100.0,0,1,0,1,0,4,3,0,1817,DF,1.0,0,0,0,1,1,0,0,1,0,0,3,0,1,0.0
1820,"MF,DF",2.0,0,0,0,0,0,0,3,0.0,3,2,0,2,1,1,1,0,1820,"MF,DF",2.0,1,0,0,3,0,7,1,0,0,0,7,2,1,66.7
1821,DF,8.8,12,8,6,5,1,8,15,53.3,7,17,4,13,14,26,28,0,1821,DF,8.8,2,0,0,14,1,3,14,8,0,0,53,26,8,76.5
1823,MF,3.9,14,9,8,5,1,4,9,44.4,5,5,2,3,4,18,5,0,1823,MF,3.9,3,0,0,5,0,2,4,9,0,0,20,3,1,75.0
1824,"DF,MF",12.6,33,16,21,9,3,16,27,59.3,11,24,12,12,17,50,39,1,1824,"DF,MF",12.6,5,0,0,19,0,7,17,16,0,0,66,21,17,55.3
1826,MF,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1826,MF,0.2,0,0,0,1,0,0,0,0,0,0,0,3,1,75.0
1828,DF,18.8,19,10,13,4,2,8,10,80.0,2,27,19,8,22,41,82,1,1828,DF,18.8,5,1,0,15,0,2,22,10,0,0,79,39,31,55.7
1829,MF,24.1,61,39,18,34,9,33,61,54.1,28,21,7,14,14,75,33,0,1829,MF,24.1,5,0,0,45,3,18,14,39,0,0,110,42,33,56.0
1832,DF,12.5,36,21,20,10,6,24,35,68.6,11,16,8,8,9,45,33,0,1832,DF,12.5,2,0,0,17,0,29,9,21,0,0,66,23,17,57.5
1833,"DF,MF",16.0,55,35,31,14,10,19,38,50.0,19,29,7,22,24,79,47,0,1833,"DF,MF",16.0,4,0,0,30,8,11,24,35,0,0,76,26,28,48.1
1834,MF,20.6,32,18,13,17,2,15,31,48.4,16,16,5,11,11,43,50,0,1834,MF,20.6,5,0,0,37,0,13,11,18,0,0,100,56,37,60.2
1835,MF,29.3,42,23,14,22,6,16,44,36.4,28,40,4,36,20,62,29,1,1835,MF,29.3,6,0,0,36,2,47,20,23,1,0,114,6,19,24.0
1836,MF,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1836,MF,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1839,DF,31.0,50,31,36,13,1,19,33,57.6,14,41,24,17,37,87,188,0,1839,DF,31.0,5,0,0,38,0,4,37,31,0,1,146,38,40,48.7
1851,DF,22.2,34,15,15,16,3,16,33,48.5,17,27,3,24,17,51,47,0,1851,DF,22.2,4,1,0,34,3,86,17,15,0,0,88,18,18,50.0
1852,DF,27.4,69,38,46,21,2,41,66,62.1,25,36,11,25,36,105,92,0,1852,DF,27.4,1,0,0,23,1,56,36,38,0,0,142,30,27,52.6
1853,"DF,MF",27.2,62,39,33,18,11,41,64,64.1,23,43,5,38,29,91,65,0,1853,"DF,MF",27.2,5,0,0,19,2,60,29,39,1,0,134,22,24,47.8
1854,DF,24.1,32,18,12,19,1,12,20,60.0,8,30,16,14,16,48,75,0,1854,DF,24.1,6,0,0,26,0,11,16,18,0,0,100,38,27,58.5
1855,MF,17.8,31,22,20,9,2,17,38,44.7,21,17,8,9,27,58,38,0,1855,MF,17.8,4,0,0,29,0,2,27,22,0,0,59,24,14,63.2
1857,DF,7.0,21,10,12,8,1,17,29,58.6,12,13,2,11,8,29,33,0,1857,DF,7.0,3,1,1,12,0,7,8,10,1,0,46,12,9,57.1
1858,DF,19.4,18,10,9,7,2,6,13,46.2,7,23,13,10,18,36,56,0,1858,DF,19.4,4,2,0,21,2,3,18,10,0,0,82,27,18,60.0
1860,DF,1.2,1,1,0,0,1,0,2,0.0,2,2,1,1,4,5,0,0,1860,DF,1.2,0,0,0,0,0,12,4,1,0,0,8,2,5,28.6
1861,MF,12.6,40,24,24,14,2,24,42,57.1,18,23,6,17,11,51,11,1,1861,MF,12.6,5,0,0,24,0,4,11,24,0,0,90,4,7,36.4
1863,"MF,DF",26.0,59,40,27,23,9,27,64,42.2,37,25,2,23,19,78,32,0,1863,"MF,DF",26.0,7,0,0,52,9,154,19,40,0,0,135,37,46,44.6
1864,DF,25.1,35,17,26,9,0,24,32,75.0,8,33,20,13,29,64,114,0,1864,DF,25.1,8,0,0,33,2,5,29,17,0,0,91,44,27,62.0
1865,DF,10.6,14,10,10,3,1,5,10,50.0,5,12,9,3,8,22,32,0,1865,DF,10.6,3,1,1,13,0,5,8,10,0,0,39,25,23,52.1
1868,DF,22.3,37,27,21,14,2,22,40,55.0,18,15,7,8,22,59,48,0,1868,DF,22.3,6,1,0,12,1,143,22,27,1,0,99,10,14,41.7
1870,MF,1.2,4,3,0,3,1,1,1,100.0,0,0,0,0,0,4,2,1,1870,MF,1.2,0,0,0,2,1,1,0,3,0,0,13,3,1,75.0
1871,"MF,DF",19.0,31,20,17,12,2,12,23,52.2,11,19,11,8,12,43,47,1,1871,"MF,DF",19.0,6,1,0,15,0,1,12,20,0,0,95,35,22,61.4
1877,MF,0.3,2,2,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0,1877,MF,0.3,1,0,0,1,0,0,0,2,0,0,5,0,3,0.0
1879,"MF,DF",8.3,11,4,6,3,2,1,9,11.1,8,11,3,8,11,22,15,1,1879,"MF,DF",8.3,2,0,0,13,0,0,11,4,0,0,35,6,14,30.0
1880,"DF,MF",17.3,37,26,21,12,4,18,30,60.0,12,12,2,10,16,53,17,0,1880,"DF,MF",17.3,3,0,0,22,3,44,16,26,0,0,95,8,7,53.3
1883,"MF,DF",0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,1883,"MF,DF",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1886,DF,24.7,38,22,19,16,3,23,43,53.5,20,36,10,26,22,60,76,1,1886,DF,24.7,2,0,0,26,1,74,22,22,2,0,130,37,29,56.1
1888,MF,13.6,15,12,7,8,0,8,26,30.8,18,8,6,2,14,29,8,0,1888,MF,13.6,4,0,0,9,0,10,14,12,0,0,70,7,7,50.0
1889,DF,35.0,32,21,22,9,1,17,40,42.5,23,39,14,25,30,62,108,2,1889,DF,35.0,4,0,0,22,0,83,30,21,0,0,135,27,31,46.6
1895,DF,16.2,42,25,33,9,0,20,25,80.0,5,19,12,7,14,56,51,0,1895,DF,16.2,5,1,1,11,0,11,14,25,0,0,98,15,5,75.0
1897,DF,3.5,12,8,9,2,1,8,11,72.7,3,2,0,2,3,15,9,1,1897,DF,3.5,3,0,0,6,0,0,3,8,0,0,18,4,5,44.4
1899,DF,32.5,50,30,39,11,0,26,44,59.1,18,44,33,11,42,92,158,1,1899,DF,32.5,6,1,1,45,0,0,42,30,2,0,150,108,36,75.0
1901,MF,3.0,5,2,1,3,1,4,6,66.7,2,5,1,4,0,5,2,0,1901,MF,3.0,1,0,0,1,0,18,0,2,0,0,18,2,2,50.0
1902,MF,15.3,64,39,29,29,6,30,49,61.2,19,36,9,27,14,78,56,0,1902,MF,15.3,10,1,1,41,2,16,14,39,0,0,72,47,32,59.5
1905,"DF,MF",14.5,54,30,34,17,3,29,64,45.3,35,30,2,28,16,70,30,0,1905,"DF,MF",14.5,5,1,1,27,0,53,16,30,1,0,102,17,27,38.6
1907,MF,11.3,19,13,7,8,4,11,22,50.0,11,18,5,13,11,30,19,0,1907,MF,11.3,3,0,0,9,1,3,11,13,0,0,47,20,8,71.4
