"123Randal Kolo MuaniEintracht Frankfurt, 26, AM(CLR),FW",6.75
"124Piero HincapiéLeverkusen, 23, D(CL),M(L)",6.74
"125Iago BorduchiAugsburg, 27, D(L),M(L)",6.74
"126Willian PachoEintracht Frankfurt, 23, D(C)",6.74
"127Rocco ReitzBorussia M.Gladbach, 22, M(C)",6.74
"128Hugo EkitikéEintracht Frankfurt, 22, FW",6.74
"129Aleksandar PavlovicBayern, 20, DMC",6.73
"130Moritz NicolasBorussia M.Gladbach, 27, GK",6.73
"131Amos PieperWerder Bremen, 27, D(C)",6.73
"132TutaEintracht Frankfurt, 25, D(C),DMC",6.73
"133Eric MartelFC Koln, 22, D(C),DMC",6.73
"134Danilho DoekhiUnion Berlin, 26, D(C)",6.72
"135Jonas OmlinBorussia M.Gladbach, 31, GK",6.72
"136Danilo SoaresBochum, 33, D(L),M(L)",6.71
"137Maxence LacroixWolfsburg, 24, D(C)",6.71
"138Romano SchmidWerder Bremen, 25, AM(CLR),FW",6.71
"139Eric DierBayern, 31, D(CR),DMC",6.71
"140Ozan KabakHoffenheim, 24, D(C)",6.71
"141Manu KonéBorussia M.Gladbach, 23, DMC",6.7
"142Ivan OrdetsBochum, 32, D(C)",6.7
"143Jan SchöppnerFC Heidenheim, 25, M(C)",6.7
"144Ko ItakuraBorussia M.Gladbach, 28, D(C),DMC",6.7
"145Anthony CaciMainz, 27, D(CLR),M(LR)",6.7
"146Kevin MüllerFC Heidenheim, 33, GK",6.7
"147Felix UduokhaiAugsburg, 27, D(C)",6.69
"148Jamie GittensBorussia Dortmund, 20, AM(CL)",6.69
"149Farès ChaïbiEintracht Frankfurt, 22, AM(CLR),FW",6.69
"150Niels NkounkouEintracht Frankfurt, 24, D(L),M(L)",6.69
"151Niklas StarkWerder Bremen, 29, D(C),DMC",6.69
"152Sasa KalajdzicEintracht Frankfurt, 27, FW",6.69
"153Nicolas HöflerFreiburg, 34, D(C),DMC",6.68
"154Christian KühlwetterFC Heidenheim, 28, AM(CLR),FW",6.68
"155Matthijs de LigtBayern, 25, D(C)",6.68
"156Phillipp MweneMainz, 31, D(LR),M(LR)",6.68
"157Robin KochEintracht Frankfurt, 28, D(C),DMC",6.68
"158Joakim MæhleWolfsburg, 27, D(LR),M(LR)",6.68
"159Fredrik JensenAugsburg, 27, AM(CLR),FW",6.68
"160Niclas FüllkrugWerder Bremen, 32, FW",6.68
"161Kevin MbabuAugsburg, 29, D(R),M(R)",6.67
"162Davie SelkeFC Koln, 30, FW",6.67
"163John Anthony BrooksHoffenheim, 32, D(C)",6.67
"164Matthias GinterFreiburg, 31, D(CR),DMC",6.67
"165Jeffrey GouweleeuwAugsburg, 33, D(C)",6.67
"166Tim SkarkeDarmstadt, 28, AM(CLR),FW",6.65
"167Lovro MajerWolfsburg, 27, AM(CR)",6.65
"168Ihlas BebouHoffenheim, 30, M(CLR),FW",6.65
"169Alexander NübelStuttgart, 28, GK",6.64
"170Florian KainzFC Koln, 32, M(CLR)",6.64
"171Ramy BensebainiBorussia Dortmund, 29, D(CL),DMC,M(L)",6.64
"172Jordan SiebatcheuBorussia M.Gladbach, 28, FW",6.64
"173Philipp HofmannBochum, 31, FW",6.64
"174Philipp LienhartFreiburg, 28, D(C)",6.63
"175Arne MaierAugsburg, 26, M(CR)",6.63
"176Mattias SvanbergWolfsburg, 26, M(CLR)",6.63
"177Tomás KoubekAugsburg, 32, GK",6.63
"178Fabian NürnbergerDarmstadt, 25, D(L),M(CL)",6.63
"179Diogo LeiteUnion Berlin, 26, D(C)",6.63
"180Alexander MeyerBorussia Dortmund, 33, GK",6.62
"181Pascal StenzelStuttgart, 28, D(CR),M(R)",6.62
"182Dayot UpamecanoBayern, 26, D(C)",6.62
"183Anthony LosillaBochum, 38, D(C),DMC",6.62
"184Nathan TellaLeverkusen, 25, M(CLR),FW",6.62
"185Yussuf PoulsenRBL, 30, AM(CR),FW",6.62
"186Noah AtuboluFreiburg, 22, GK",6.62
"187Maximilian EggesteinFreiburg, 28, M(CR)",6.61
"188Luca NetzBorussia M.Gladbach, 21, D(L),M(L)",6.61
"189Marvin MehlemDarmstadt, 27, M(CL)",6.61
"190Lukas KüblerFreiburg, 32, D(CLR),M(R)",6.61
"191Niklas SüleBorussia Dortmund, 29, D(CR)",6.61
"192Florian NeuhausBorussia M.Gladbach, 27, M(C)",6.61
"193Manuel RiemannBochum, 36, GK",6.61
"194Robin ZentnerMainz, 30, GK",6.6
"195Luca PfeifferDarmstadt, 28, AM(C),FW",6.6
"196Roland SallaiFreiburg, 27, M(CLR),FW",6.6
"197Finn DahmenAugsburg, 26, GK",6.59
"198Maximilian WittekBochum, 29, D(CL),M(LR)",6.59
"199Mario GötzeEintracht Frankfurt, 32, M(CLR),FW",6.59
"200Senne LynenWerder Bremen, 25, DMC",6.59
"201Felix NmechaBorussia Dortmund, 24, M(C)",6.59
"202András SchäferUnion Berlin, 25, M(C)",6.58
"203Grischa PrömelHoffenheim, 30, M(C)",6.58
"204Justin NjinmahWerder Bremen, 24, FW",6.58
"205Castello LukebaRBL, 22, D(C)",6.57
"206Felix AguWerder Bremen, 25, D(LR),M(LR)",6.57
"207Benedikt GimberFC Heidenheim, 27, D(C),DMC",6.57
"208Christian GünterFreiburg, 31, D(L),M(L)",6.57
"209Moritz JenzWolfsburg, 25, D(C)",6.57
"210Silvan WidmerMainz, 31, D(CR),M(R)",6.57
"211Anthony JungWerder Bremen, 33, D(CL),M(L)",6.56
"212Silas Katompa MvumpaStuttgart, 26, M(CLR),FW",6.55
"213Kevin AkpogumaHoffenheim, 29, D(CR),M(R)",6.55
