,Player Name,Rating,League,Season,Squad
447,Dele Alli,6.26,Premier League,2021-2022,Everton
448,Samuel Kalu,6.25,Premier League,2021-2022,Watford
449,Nathan Tella,6.25,Premier League,2021-2022,Southampton
450,Steven Bergwijn,6.25,Premier League,2021-2022,Tottenham
451,Willy Caballero,6.25,Premier League,2021-2022,Southampton
452,Jesse Lingard,6.24,Premier League,2021-2022,Man Utd
453,Lukas Rupp,6.23,Premier League,2021-2022,Norwich
454,Todd Cantwell,6.23,Premier League,2021-2022,Norwich
455,Crysencio Summerville,6.23,Premier League,2021-2022,Leeds
456,Mark Noble,6.23,Premier League,2021-2022,West Ham
457,Kevin Long,6.22,Premier League,2021-2022,Burnley
458,Kieran Dowell,6.22,Premier League,2021-2022,Norwich
459,Nikola Vlasic,6.22,Premier League,2021-2022,West Ham
460,Tom Davies,6.22,Premier League,2021-2022,Everton
461,Ellis Simms,6.21,Premier League,2021-2022,Everton
462,Ciaran Clark,6.2,Premier League,2021-2022,Newcastle
463,Carney Chukwuemeka,6.2,Premier League,2021-2022,Aston Villa
464,Dane Scarlett,6.2,Premier League,2021-2022,Tottenham
465,Przemyslaw Placheta,6.2,Premier League,2021-2022,Norwich
466,Will Smallbone,6.19,Premier League,2021-2022,Southampton
467,Ashley Barnes,6.19,Premier League,2021-2022,Burnley
468,Troy Deeney,6.19,Premier League,2021-2022,Watford
469,Charlie Cresswell,6.19,Premier League,2021-2022,Leeds
470,Salomón Rondón,6.19,Premier League,2021-2022,Everton
471,Moussa Djenepo,6.18,Premier League,2021-2022,Southampton
472,Axel Tuanzebe,6.18,Premier League,2021-2022,Aston Villa
473,André Gomes,6.17,Premier League,2021-2022,Everton
474,Harrison Ashby,6.17,Premier League,2021-2022,West Ham
475,Jonathan Rowe,6.17,Premier League,2021-2022,Norwich
476,Dale Stephens,6.17,Premier League,2021-2022,Burnley
477,Karl Darlow,6.16,Premier League,2021-2022,Newcastle
478,Ryan Fredericks,6.15,Premier League,2021-2022,West Ham
479,Jarrad Branthwaite,6.15,Premier League,2021-2022,Everton
480,Marcus Forss,6.15,Premier League,2021-2022,Brentford
481,Andrii Yarmolenko,6.15,Premier League,2021-2022,West Ham
482,Bryan Gil,6.15,Premier League,2021-2022,Tottenham
483,Jesurun Rak-SakyiCrystal ,6.15,Premier League,2021-2022,Palace
484,Robin Olsen,6.14,Premier League,2021-2022,Aston Villa
485,Josh Dasilva,6.14,Premier League,2021-2022,Brentford
486,Taylor Richards,6.14,Premier League,2021-2022,Brighton
487,Chem Campbell,6.13,Premier League,2021-2022,Wolves
488,James McAtee,6.13,Premier League,2021-2022,Man City
489,Calum Chambers,6.13,Premier League,2021-2022,Arsenal
490,Tyler Morton,6.13,Premier League,2021-2022,Liverpool
491,Jairo Riedewald,6.12,Premier League,2021-2022,Crystal Palace
492,Lewis Brunt,6.12,Premier League,2021-2022,Leicester
493,Ryan Bertrand,6.1,Premier League,2021-2022,Leicester
494,Aaron Connolly,6.1,Premier League,2021-2022,Brighton
495,Joe Rodon,6.09,Premier League,2021-2022,Tottenham
496,Christoph Zimmermann,6.09,Premier League,2021-2022,Norwich
497,Kayky,6.09,Premier League,2021-2022,Man City
498,Theo Walcott,6.09,Premier League,2021-2022,Southampton
499,Fábio Silva,6.09,Premier League,2021-2022,Wolves
500,Kaide Gordon,6.08,Premier League,2021-2022,Liverpool
501,Sonny Perkins,6.08,Premier League,2021-2022,West Ham
502,Jean-Philippe Gbamin,6.07,Premier League,2021-2022,Everton
503,Christos Tzolis,6.06,Premier League,2021-2022,Norwich
504,Mads Bidstrup,6.06,Premier League,2021-2022,Brentford
505,Ozan Tufan,6.06,Premier League,2021-2022,Watford
506,Ashley Fletcher,6.05,Premier League,2021-2022,Watford
507,Bali Mumba,6.05,Premier League,2021-2022,Norwich
508,Shola Shoretire,6.05,Premier League,2021-2022,Man Utd
509,Anwar El Ghazi,6.05,Premier League,2021-2022,Everton
510,Jürgen Locadia,6.04,Premier League,2021-2022,Brighton
511,Reiss Nelson,6.04,Premier League,2021-2022,Arsenal
512,Cody Drameh,6.03,Premier League,2021-2022,Leeds
513,Emerson,6.03,Premier League,2021-2022,Chelsea
514,Trézéguet,6.03,Premier League,2021-2022,Aston Villa
515,Dwight Gayle,6.02,Premier League,2021-2022,Newcastle
516,Tyler Onyango,6.02,Premier League,2021-2022,Everton
517,Cameron Archer,6.02,Premier League,2021-2022,Aston Villa
518,Kasey McAteer,6.01,Premier League,2021-2022,Leicester
519,Dominic Thompson,6.01,Premier League,2021-2022,Brentford
520,Jeremy Sarmiento,6.0,Premier League,2021-2022,Brighton
521,Alex Král,6.0,Premier League,2021-2022,West Ham
522,Dan Chesters,6.0,Premier League,2021-2022,West Ham
523,Hélder Costa,6.0,Premier League,2021-2022,Leeds
524,Moise Kean,6.0,Premier League,2021-2022,Everton
525,Nohan Kenneh,6.0,Premier League,2021-2022,Leeds
526,Wesley,6.0,Premier League,2021-2022,Aston Villa
527,Stuart McKinstry,5.99,Premier League,2021-2022,Leeds
528,Lewis Dobbin,5.99,Premier League,2021-2022,Everton
529,Alejandro Garnacho,5.98,Premier League,2021-2022,Man Utd
530,Nathan Ferguson,5.98,Premier League,2021-2022,Crystal Palace
531,Nathan Young-CoombesBrentford,5.98,Premier League,2021-2022,
532,Tony Springett,5.97,Premier League,2021-2022,Norwich
533,Hannibal Mejbri,5.97,Premier League,2021-2022,Man Utd
534,Cenk Tosun,5.96,Premier League,2021-2022,Everton
535,Jaden Philogene,5.95,Premier League,2021-2022,Aston Villa
536,Folarin Balogun,5.95,Premier League,2021-2022,Arsenal
537,Morgan Gibbs-WhiteWolves,5.94,Premier League,2021-2022,
538,Evan Ferguson,5.93,Premier League,2021-2022,Brighton
539,Keinan Davis,5.92,Premier League,2021-2022,Aston Villa
540,Liam McCarron,5.91,Premier League,2021-2022,Leeds
541,Lewis Bate,5.82,Premier League,2021-2022,Leeds
542,Freddie Woodman,5.81,Premier League,2021-2022,Newcastle
543,Sead Kolasinac,5.72,Premier League,2021-2022,Arsenal
544,Isaac Price,5.7,Premier League,2021-2022,Everton
545,Jonas Lössl,5.55,Premier League,2021-2022,Brentford
546,Jed Steer,5.46,Premier League,2021-2022,Aston Villa
547,Robert Lewandowski,7.89,Bundesliga,2021-2022,Bayern
548,Christopher NkunkuR,7.64,Bundesliga,2021-2022,B Leipzig
549,Joshua Kimmich,7.6,Bundesliga,2021-2022,Bayern
550,Stefanos Kapino,7.58,Bundesliga,2021-2022,Arminia Bielefeld
551,Erling Haaland,7.55,Bundesliga,2021-2022,Borussia Dortmund
552,Patrik Schick,7.45,Bundesliga,2021-2022,Leverkusen
553,Florian Wirtz,7.41,Bundesliga,2021-2022,Leverkusen
554,Nico Schlotterbeck,7.39,Bundesliga,2021-2022,Freiburg
555,Thomas Müller,7.34,Bundesliga,2021-2022,Bayern
556,Alphonso Davies,7.31,Bundesliga,2021-2022,Bayern
557,Jonas Wind,7.31,Bundesliga,2021-2022,Wolfsburg
558,Serge Gnabry,7.3,Bundesliga,2021-2022,Bayern
559,Marco Reus,7.25,Bundesliga,2021-2022,Borussia Dortmund
560,Jonas Hofmann,7.2,Bundesliga,2021-2022,Borussia M Gladbach
561,Moussa Diaby,7.2,Bundesliga,2021-2022,Leverkusen
562,Leroy Sané,7.17,Bundesliga,2021-2022,Bayern
563,David Raum,7.16,Bundesliga,2021-2022,Hoffenheim
564,Kingsley Coman,7.13,Bundesliga,2021-2022,Bayern
565,Jude Bellingham,7.12,Bundesliga,2021-2022,Borussia Dortmund
566,Julian Brandt,7.12,Bundesliga,2021-2022,Borussia Dortmund
567,Tom Rothe,7.12,Bundesliga,2021-2022,Borussia Dortmund
568,Filip Kostic,7.11,Bundesliga,2021-2022,Eintracht Frankfurt
569,Anthony ModesteF,7.11,Bundesliga,2021-2022,C Koln
570,Diant Ramaj,7.11,Bundesliga,2021-2022,Eintracht Frankfurt
571,Vincenzo Grifo,7.1,Bundesliga,2021-2022,Freiburg
572,Nicolas Höfler,7.09,Bundesliga,2021-2022,Freiburg
573,Leon Goretzka,7.08,Bundesliga,2021-2022,Bayern
574,Lucas Höler,7.08,Bundesliga,2021-2022,Freiburg
575,Sasa Kalajdzic,7.08,Bundesliga,2021-2022,Stuttgart
576,Evan Ndicka,7.06,Bundesliga,2021-2022,Eintracht Frankfurt
577,Danilo Soares,7.06,Bundesliga,2021-2022,Bochum
578,Timo HübersF,7.06,Bundesliga,2021-2022,C Koln
579,Willi OrbánR,7.06,Bundesliga,2021-2022,B Leipzig
580,Konstantinos Mavropanos,7.05,Bundesliga,2021-2022,Stuttgart
581,Josko GvardiolR,7.04,Bundesliga,2021-2022,B Leipzig
582,Max Kruse,7.03,Bundesliga,2021-2022,Union Berlin
583,Jeremiah St Juste,7.03,Bundesliga,2021-2022,Mainz
584,Borna Sosa,7.02,Bundesliga,2021-2022,Stuttgart
585,Lennart Grill,7.01,Bundesliga,2021-2022,Leverkusen
586,Mark UthF,7.0,Bundesliga,2021-2022,C Koln
587,Manu Koné,6.99,Bundesliga,2021-2022,Borussia M Gladbach
588,Maximilian Arnold,6.99,Bundesliga,2021-2022,Wolfsburg
589,Ellyes SkhiriF,6.98,Bundesliga,2021-2022,C Koln
590,Kerem Demirbay,6.98,Bundesliga,2021-2022,Leverkusen
591,Dayot Upamecano,6.98,Bundesliga,2021-2022,Bayern
592,Alexander Hack,6.97,Bundesliga,2021-2022,Mainz
593,Jonas HectorF,6.97,Bundesliga,2021-2022,C Koln
594,Christopher Trimmel,6.97,Bundesliga,2021-2022,Union Berlin
595,Benjamin Hübner,6.96,Bundesliga,2021-2022,Hoffenheim
596,Anthony Losilla,6.96,Bundesliga,2021-2022,Bochum
597,AngeliñoR,6.95,Bundesliga,2021-2022,B Leipzig
598,Omar Marmoush,6.95,Bundesliga,2021-2022,Stuttgart
599,Jamal Musiala,6.94,Bundesliga,2021-2022,Bayern
600,Jonathan Tah,6.94,Bundesliga,2021-2022,Leverkusen
601,Lucas Hernández,6.94,Bundesliga,2021-2022,Bayern
602,Max Kruse,6.94,Bundesliga,2021-2022,Wolfsburg
603,Anton Stach,6.93,Bundesliga,2021-2022,Mainz
604,Marcel HalstenbergR,6.93,Bundesliga,2021-2022,B Leipzig
605,Wataru Endo,6.93,Bundesliga,2021-2022,Stuttgart
606,Patrick Wimmer,6.92,Bundesliga,2021-2022,Arminia Bielefeld
607,Alassane Pléa,6.91,Bundesliga,2021-2022,Borussia M Gladbach
608,Breel Embolo,6.91,Bundesliga,2021-2022,Borussia M Gladbach
609,Donyell Malen,6.9,Bundesliga,2021-2022,Borussia Dortmund
610,Andrej Kramaric,6.89,Bundesliga,2021-2022,Hoffenheim
611,Thomas Meunier,6.88,Bundesliga,2021-2022,Borussia Dortmund
612,Mohamed SimakanR,6.88,Bundesliga,2021-2022,B Leipzig
613,Jeremie Frimpong,6.88,Bundesliga,2021-2022,Leverkusen
614,Maximilian Mittelstädt,6.88,Bundesliga,2021-2022,Hertha Berlin
615,Mats Hummels,6.88,Bundesliga,2021-2022,Borussia Dortmund
616,Florian KainzF,6.88,Bundesliga,2021-2022,C Koln
617,Florian Grillitsch,6.87,Bundesliga,2021-2022,Hoffenheim
618,Benjamin Pavard,6.87,Bundesliga,2021-2022,Bayern
619,Philipp Lienhart,6.87,Bundesliga,2021-2022,Freiburg
620,Emre Can,6.86,Bundesliga,2021-2022,Borussia Dortmund
621,Reece Oxford,6.86,Bundesliga,2021-2022,Augsburg
622,Ramy Bensebaini,6.86,Bundesliga,2021-2022,Borussia M Gladbach
623,Mahmoud Dahoud,6.85,Bundesliga,2021-2022,Borussia Dortmund
624,Karim Onisiwo,6.84,Bundesliga,2021-2022,Mainz
625,Edmond Tapsoba,6.84,Bundesliga,2021-2022,Leverkusen
626,Taiwo Awoniyi,6.84,Bundesliga,2021-2022,Union Berlin
627,Aarón Martín,6.84,Bundesliga,2021-2022,Mainz
628,Maxence Lacroix,6.83,Bundesliga,2021-2022,Wolfsburg
629,Paul Jaeckel,6.83,Bundesliga,2021-2022,Union Berlin
630,Chris Führich,6.83,Bundesliga,2021-2022,Stuttgart
631,Jamie Gittens,6.83,Bundesliga,2021-2022,Borussia Dortmund
632,Jonathan Burkardt,6.82,Bundesliga,2021-2022,Mainz
633,Josip Brekalo,6.82,Bundesliga,2021-2022,Wolfsburg
634,Dominik SzoboszlaiR,6.82,Bundesliga,2021-2022,B Leipzig
635,Tony Jantschke,6.82,Bundesliga,2021-2022,Borussia M Gladbach
636,Amadou HaidaraR,6.82,Bundesliga,2021-2022,B Leipzig
637,Raphaël Guerreiro,6.82,Bundesliga,2021-2022,Borussia Dortmund
638,Ridle Baku,6.81,Bundesliga,2021-2022,Wolfsburg
639,Niklas Süle,6.81,Bundesliga,2021-2022,Bayern
640,Daniel Caligiuri,6.81,Bundesliga,2021-2022,Augsburg
641,Manuel Riemann,6.81,Bundesliga,2021-2022,Bochum
642,Lukas Kübler,6.8,Bundesliga,2021-2022,Freiburg
643,Sheraldo Becker,6.8,Bundesliga,2021-2022,Union Berlin
644,Lukás Hrádecky,6.8,Bundesliga,2021-2022,Leverkusen
645,Denis Zakaria,6.8,Bundesliga,2021-2022,Borussia M Gladbach
646,Silvan Widmer,6.79,Bundesliga,2021-2022,Mainz
647,Amos Pieper,6.79,Bundesliga,2021-2022,Arminia Bielefeld
648,Rafael Borré,6.79,Bundesliga,2021-2022,Eintracht Frankfurt
649,Salih zcanF,6.79,Bundesliga,2021-2022,C Koln
650,Michael Gregoritsch,6.78,Bundesliga,2021-2022,Augsburg
651,Marvin SchwäbeF,6.78,Bundesliga,2021-2022,C Koln
652,Robert Andrich,6.78,Bundesliga,2021-2022,Leverkusen
653,Karim Bellarabi,6.78,Bundesliga,2021-2022,Leverkusen
654,Christian Günter,6.78,Bundesliga,2021-2022,Freiburg
655,Florian Neuhaus,6.78,Bundesliga,2021-2022,Borussia M Gladbach
656,Guilherme Ramos,6.77,Bundesliga,2021-2022,Arminia Bielefeld
657,Cédric Brunner,6.77,Bundesliga,2021-2022,Arminia Bielefeld
658,Matthias Ginter,6.77,Bundesliga,2021-2022,Borussia M Gladbach
659,Wout Weghorst,6.76,Bundesliga,2021-2022,Wolfsburg
660,Jesper Lindstrøm,6.76,Bundesliga,2021-2022,Eintracht Frankfurt
661,Ansgar Knauff,6.76,Bundesliga,2021-2022,Eintracht Frankfurt
662,Iago Borduchi,6.75,Bundesliga,2021-2022,Augsburg
663,Robin Knoche,6.75,Bundesliga,2021-2022,Union Berlin
664,Marvin Plattenhardt,6.75,Bundesliga,2021-2022,Hertha Berlin
665,Nordi MukieleR,6.75,Bundesliga,2021-2022,B Leipzig
666,Tuta,6.75,Bundesliga,2021-2022,Eintracht Frankfurt
667,Grischa Prömel,6.75,Bundesliga,2021-2022,Union Berlin
668,Yann Sommer,6.75,Bundesliga,2021-2022,Borussia M Gladbach
669,André SilvaR,6.74,Bundesliga,2021-2022,B Leipzig
670,Niklas Dorsch,6.74,Bundesliga,2021-2022,Augsburg
671,Manuel Neuer,6.74,Bundesliga,2021-2022,Bayern
672,Stefan Bell,6.74,Bundesliga,2021-2022,Mainz
673,Thorgan Hazard,6.73,Bundesliga,2021-2022,Borussia Dortmund
674,Atakan Karazor,6.73,Bundesliga,2021-2022,Stuttgart
675,Josuha Guilavogui,6.73,Bundesliga,2021-2022,Wolfsburg
676,Joakim Nilsson,6.73,Bundesliga,2021-2022,Arminia Bielefeld
677,John Anthony Brooks,6.73,Bundesliga,2021-2022,Wolfsburg
678,Stefan Ortega,6.73,Bundesliga,2021-2022,Arminia Bielefeld
679,Jordan Torunarigha,6.72,Bundesliga,2021-2022,Hertha Berlin
680,Giovanni Reyna,6.72,Bundesliga,2021-2022,Borussia Dortmund
681,Cristian Gamboa,6.72,Bundesliga,2021-2022,Bochum
682,Moussa Niakhaté,6.72,Bundesliga,2021-2022,Mainz
683,Corentin Tolisso,6.72,Bundesliga,2021-2022,Bayern
684,Dani OlmoR,6.71,Bundesliga,2021-2022,B Leipzig
685,Mark Flekken,6.71,Bundesliga,2021-2022,Freiburg
686,Manuel Akanji,6.71,Bundesliga,2021-2022,Borussia Dortmund
687,Xaver Schlager,6.71,Bundesliga,2021-2022,Wolfsburg
688,Paulinho,6.71,Bundesliga,2021-2022,Leverkusen
689,Jordan Beyer,6.71,Bundesliga,2021-2022,Borussia M Gladbach
690,Timo Baumgartl,6.71,Bundesliga,2021-2022,Union Berlin
691,Philipp Klement,6.7,Bundesliga,2021-2022,Stuttgart
692,Koen Casteels,6.7,Bundesliga,2021-2022,Wolfsburg
693,Marvin Friedrich,6.7,Bundesliga,2021-2022,Union Berlin
694,Suat Serdar,6.7,Bundesliga,2021-2022,Hertha Berlin
695,Jeffrey Gouweleeuw,6.7,Bundesliga,2021-2022,Augsburg
696,Ihlas Bebou,6.69,Bundesliga,2021-2022,Hoffenheim
697,Lukas KlostermannR,6.69,Bundesliga,2021-2022,B Leipzig
698,Piero Hincapié,6.69,Bundesliga,2021-2022,Leverkusen
699,Benjamin HenrichsR,6.69,Bundesliga,2021-2022,B Leipzig
700,Niko elmann,6.69,Bundesliga,2021-2022,Union Berlin
701,Diadié Samassékou,6.68,Bundesliga,2021-2022,Hoffenheim
702,Waldemar Anton,6.68,Bundesliga,2021-2022,Stuttgart
703,Rani Khedira,6.68,Bundesliga,2021-2022,Union Berlin
704,Matheus Cunha,6.68,Bundesliga,2021-2022,Hertha Berlin
705,Gregor Kobel,6.68,Bundesliga,2021-2022,Borussia Dortmund
706,Djibril Sow,6.67,Bundesliga,2021-2022,Eintracht Frankfurt
707,Kevin Trapp,6.67,Bundesliga,2021-2022,Eintracht Frankfurt
708,Marc Kempf,6.67,Bundesliga,2021-2022,Stuttgart
709,Konrad LaimerR,6.67,Bundesliga,2021-2022,B Leipzig
710,Charles Aránguiz,6.67,Bundesliga,2021-2022,Leverkusen
711,Santiago Ascacíbar,6.66,Bundesliga,2021-2022,Hertha Berlin
712,Chris Richards,6.66,Bundesliga,2021-2022,Hoffenheim
713,Lukas Nmecha,6.66,Bundesliga,2021-2022,Wolfsburg
714,Sebastian Polter,6.66,Bundesliga,2021-2022,Bochum
715,Georginio Rutter,6.66,Bundesliga,2021-2022,Hoffenheim
716,Oliver Baumann,6.66,Bundesliga,2021-2022,Hoffenheim
717,Gerrit Holtmann,6.65,Bundesliga,2021-2022,Bochum
718,Jae-Sung Lee,6.65,Bundesliga,2021-2022,Mainz
719,Mitchel Bakker,6.65,Bundesliga,2021-2022,Leverkusen
720,Lars Stindl,6.64,Bundesliga,2021-2022,Borussia M Gladbach
721,Hiroki Ito,6.64,Bundesliga,2021-2022,Stuttgart
722,Kevin Mbabu,6.64,Bundesliga,2021-2022,Wolfsburg
723,Stevan Jovetic,6.64,Bundesliga,2021-2022,Hertha Berlin
724,Robin Zentner,6.64,Bundesliga,2021-2022,Mainz
725,Max Christiansen,6.63,Bundesliga,2021-2022,Greuther Fuerth
726,Vasilios Lampropoulos,6.63,Bundesliga,2021-2022,Bochum
727,Bastian Oczipka,6.63,Bundesliga,2021-2022,Union Berlin
728,Daichi Kamada,6.63,Bundesliga,2021-2022,Eintracht Frankfurt
729,Axel Witsel,6.62,Bundesliga,2021-2022,Borussia Dortmund
730,Erhan Masovic,6.62,Bundesliga,2021-2022,Bochum
731,Marc Kempf,6.61,Bundesliga,2021-2022,Hertha Berlin
732,Christoph Baumgartner,6.61,Bundesliga,2021-2022,Hoffenheim
733,André Hahn,6.61,Bundesliga,2021-2022,Augsburg
734,Tiago Tomás,6.61,Bundesliga,2021-2022,Stuttgart
735,Exequiel Palacios,6.61,Bundesliga,2021-2022,Leverkusen
736,Maximilian Eggestein,6.6,Bundesliga,2021-2022,Freiburg
737,Dennis Geiger,6.6,Bundesliga,2021-2022,Hoffenheim
738,Amine Adli,6.6,Bundesliga,2021-2022,Leverkusen
739,Maxim Leitsch,6.6,Bundesliga,2021-2022,Bochum
740,Frederik Rønnow,6.6,Bundesliga,2021-2022,Union Berlin
741,Paulo Otávio,6.6,Bundesliga,2021-2022,Wolfsburg
742,Eduard Löwen,6.6,Bundesliga,2021-2022,Bochum
743,Simon Zoller,6.6,Bundesliga,2021-2022,Bochum
744,Leandro Barreiro,6.6,Bundesliga,2021-2022,Mainz
745,Genki Haraguchi,6.6,Bundesliga,2021-2022,Union Berlin
746,Martin Hinteregger,6.6,Bundesliga,2021-2022,Eintracht Frankfurt
747,Josip Stanisic,6.59,Bundesliga,2021-2022,Bayern
748,Frederik Winther,6.59,Bundesliga,2021-2022,Augsburg
749,Konstantinos Stafylidis,6.59,Bundesliga,2021-2022,Bochum
750,Sebastiaan Bornauw,6.59,Bundesliga,2021-2022,Wolfsburg
751,Dejan LjubicicF,6.59,Bundesliga,2021-2022,C Koln
752,Michaël Cuisance,6.59,Bundesliga,2021-2022,Bayern
753,Niklas Stark,6.59,Bundesliga,2021-2022,Hertha Berlin
754,Emil ForsbergR,6.58,Bundesliga,2021-2022,B Leipzig
755,Jessic Ngankam,6.58,Bundesliga,2021-2022,Greuther Fuerth
756,Yannick Gerhardt,6.58,Bundesliga,2021-2022,Wolfsburg
757,Kevin KamplR,6.58,Bundesliga,2021-2022,B Leipzig
758,Pavel Kaderábek,6.58,Bundesliga,2021-2022,Hoffenheim
759,Kevin Schade,6.58,Bundesliga,2021-2022,Freiburg
760,Benno SchmitzF,6.58,Bundesliga,2021-2022,C Koln
761,Dominik Kohr,6.58,Bundesliga,2021-2022,Mainz
762,Péter GulácsiR,6.58,Bundesliga,2021-2022,B Leipzig
763,Fabian Bredlow,6.58,Bundesliga,2021-2022,Stuttgart
764,Makoto Hasebe,6.57,Bundesliga,2021-2022,Eintracht Frankfurt
765,Arne Maier,6.57,Bundesliga,2021-2022,Augsburg
766,Branimir Hrgota,6.57,Bundesliga,2021-2022,Greuther Fuerth
767,Fabian Klos,6.57,Bundesliga,2021-2022,Arminia Bielefeld
768,Erik Durm,6.57,Bundesliga,2021-2022,Eintracht Frankfurt
769,Stefan Posch,6.57,Bundesliga,2021-2022,Hoffenheim
770,Armel Bella-KotchapBochum,6.56,Bundesliga,2021-2022,
771,Ishak Belfodil,6.56,Bundesliga,2021-2022,Hertha Berlin
772,Timo HornF,6.56,Bundesliga,2021-2022,C Koln
773,Nico Elvedi,6.55,Bundesliga,2021-2022,Borussia M Gladbach
774,Vladimír Darida,6.55,Bundesliga,2021-2022,Hertha Berlin
775,Luca KilianF,6.55,Bundesliga,2021-2022,C Koln
776,Marco Meyerhöfer,6.55,Bundesliga,2021-2022,Greuther Fuerth
777,Odilon Kossounou,6.55,Bundesliga,2021-2022,Leverkusen
778,Yussuf PoulsenR,6.55,Bundesliga,2021-2022,B Leipzig
779,Mu nas Dabbur,6.54,Bundesliga,2021-2022,Hoffenheim
780,Jean-Paul Boëtius,6.54,Bundesliga,2021-2022,Mainz
781,Hamadi Al Ghaddioui,6.54,Bundesliga,2021-2022,Stuttgart
782,Andreas Linde,6.54,Bundesliga,2021-2022,Greuther Fuerth
783,Rafal Gikiewicz,6.54,Bundesliga,2021-2022,Augsburg
784,Rafael CzichosF,6.54,Bundesliga,2021-2022,C Koln
785,Marcus Thuram,6.54,Bundesliga,2021-2022,Borussia M Gladbach
786,Alessandro Schöpf,6.54,Bundesliga,2021-2022,Arminia Bielefeld
787,Omar Richards,6.54,Bundesliga,2021-2022,Bayern
788,Orel Mangala,6.53,Bundesliga,2021-2022,Stuttgart
789,Andrés Andrade,6.53,Bundesliga,2021-2022,Arminia Bielefeld
790,Roland Sallai,6.53,Bundesliga,2021-2022,Freiburg
791,Timothy Tillman,6.53,Bundesliga,2021-2022,Greuther Fuerth
792,Sardar Azmoun,6.53,Bundesliga,2021-2022,Leverkusen
793,Masaya Okugawa,6.52,Bundesliga,2021-2022,Arminia Bielefeld
794,Tanguy Nianzou,6.52,Bundesliga,2021-2022,Bayern
795,Dedryck Boyata,6.52,Bundesliga,2021-2022,Hertha Berlin
796,Julian Ryerson,6.52,Bundesliga,2021-2022,Union Berlin
797,Micky van de Ven,6.52,Bundesliga,2021-2022,Wolfsburg
798,Kingsley EhizibueF,6.52,Bundesliga,2021-2022,C Koln
799,Marc Roca,6.51,Bundesliga,2021-2022,Bayern
800,Milos Pantovic,6.51,Bundesliga,2021-2022,Bochum
801,Christopher Lenz,6.51,Bundesliga,2021-2022,Eintracht Frankfurt
802,Dan-Axel Zagadou,6.51,Bundesliga,2021-2022,Borussia Dortmund
803,Aster Vranckx,6.51,Bundesliga,2021-2022,Wolfsburg
804,Wooyeong Jeong,6.51,Bundesliga,2021-2022,Freiburg
805,Jérôme Roussillon,6.5,Bundesliga,2021-2022,Wolfsburg
806,Marco Richter,6.5,Bundesliga,2021-2022,Hertha Berlin
807,Nico Schulz,6.5,Bundesliga,2021-2022,Borussia Dortmund
808,Michael Esser,6.49,Bundesliga,2021-2022,Bochum
809,Pavao Pervan,6.49,Bundesliga,2021-2022,Wolfsburg
810,Marvin Friedrich,6.49,Bundesliga,2021-2022,Borussia M Gladbach
811,Ondrej DudaF,6.49,Bundesliga,2021-2022,C Koln
812,Eric Choupo-MotingBayern,6.49,Bundesliga,2021-2022,
813,Pascal Stenzel,6.49,Bundesliga,2021-2022,Stuttgart
814,Lucas Tousart,6.49,Bundesliga,2021-2022,Hertha Berlin
815,Angelo Stiller,6.48,Bundesliga,2021-2022,Hoffenheim
816,Dodi Lukébakio,6.48,Bundesliga,2021-2022,Wolfsburg
817,Danny Blum,6.48,Bundesliga,2021-2022,Bochum
818,Alfred Finnbogason,6.48,Bundesliga,2021-2022,Augsburg
819,Joe Scally,6.48,Bundesliga,2021-2022,Borussia M Gladbach
820,Rubén Vargas,6.48,Bundesliga,2021-2022,Augsburg
821,Jonathan Schmid,6.47,Bundesliga,2021-2022,Freiburg
822,Kevin Akpoguma,6.47,Bundesliga,2021-2022,Hoffenheim
823,Delano Burgzorg,6.47,Bundesliga,2021-2022,Mainz
824,Anderson Lucoqui,6.46,Bundesliga,2021-2022,Mainz
825,Bouna Sarr,6.46,Bundesliga,2021-2022,Bayern
826,Andreas Luthe,6.45,Bundesliga,2021-2022,Union Berlin
827,Marius Wolf,6.45,Bundesliga,2021-2022,Borussia Dortmund
828,Takuma Asano,6.45,Bundesliga,2021-2022,Bochum
829,Jacob Laursen,6.45,Bundesliga,2021-2022,Arminia Bielefeld
830,Manuel Prietl,6.45,Bundesliga,2021-2022,Arminia Bielefeld
831,Jan ThielmannF,6.45,Bundesliga,2021-2022,C Koln
832,Peter Pekarík,6.44,Bundesliga,2021-2022,Hertha Berlin
833,Gian-Luca Itter,6.44,Bundesliga,2021-2022,Greuther Fuerth
834,Sebastian Vasiliadis,6.44,Bundesliga,2021-2022,Arminia Bielefeld
835,Steffen Tigges,6.43,Bundesliga,2021-2022,Borussia Dortmund
836,Jamie Leweling,6.43,Bundesliga,2021-2022,Greuther Fuerth
837,Luca Netz,6.43,Bundesliga,2021-2022,Borussia M Gladbach
838,Kristijan Jakic,6.43,Bundesliga,2021-2022,Eintracht Frankfurt
839,Elvis Rexhbeçaj,6.43,Bundesliga,2021-2022,Bochum
840,Jürgen Locadia,6.43,Bundesliga,2021-2022,Bochum
841,Florian Niederlechner,6.43,Bundesliga,2021-2022,Augsburg
842,Alexander Schwolow,6.43,Bundesliga,2021-2022,Hertha Berlin
843,Sebastian Rode,6.42,Bundesliga,2021-2022,Eintracht Frankfurt
844,Clinton Mola,6.42,Bundesliga,2021-2022,Stuttgart
845,Hannes Wolf,6.42,Bundesliga,2021-2022,Borussia M Gladbach
846,Aymen Barkok,6.42,Bundesliga,2021-2022,Eintracht Frankfurt
