Actual,Predicted
6.32,6.504446170412659
6.7,6.749293490228538
6.62,6.453115220197404
6.92,6.661858184433575
6.2,6.470801031678361
6.51,6.551886662764843
6.49,6.604804159951795
6.37,6.562286882727263
6.35,6.532718027940513
6.5,6.620825868168953
6.89,6.691509962719792
6.97,6.725572357348427
6.32,6.6059565375914255
6.48,6.469394197680634
6.47,6.6513830565906495
7.13,6.596985179795518
6.47,6.593691729482299
6.84,6.6812362960603435
6.69,6.52311493838219
6.6,6.619238426798596
6.51,6.51572110988344
6.7,6.569282727672016
6.5,6.598246646625509
6.33,6.43528618731015
6.33,6.431466180884799
6.63,6.609967070613685
6.67,6.6126023945285475
6.64,6.585697988455699
6.38,6.551393519293013
6.62,6.561215900834183
6.59,6.78405816436001
6.11,6.501818808362088
6.71,6.71198666048264
6.5,6.651429905432215
6.27,6.38677208038121
6.54,6.5339560371841205
6.59,6.476299583714938
6.68,6.460595305653464
6.8,6.60836438142194
7.58,6.937566684885165
6.92,6.719747975261146
6.14,6.4829125148935525
6.7,6.779451952326328
6.41,6.530950557665736
6.43,6.525498771189066
6.57,6.481716181364853
6.42,6.5185388897039855
6.65,6.598765908169881
7.05,7.041679212945912
6.59,6.6021258003018435
6.86,6.537880301124167
6.58,6.683312372878846
6.75,6.675930237923973
6.64,6.681630182037016
6.38,6.5292294448555905
6.46,6.520819628221493
6.41,6.412954324590082
6.75,6.730733050326093
6.37,6.469168837246263
6.29,6.480556036024676
6.36,6.627423986125384
6.5,6.58637395032831
6.39,6.542968777671955
6.8,6.761896392278622
6.88,6.732430781638124
6.19,6.417324642919684
6.5,6.600650902264322
6.96,6.766778845690504
6.43,6.42793295791632
6.76,6.60308046795735
6.27,6.482391932505513
6.63,6.670126522145448
6.26,6.378665332483594
6.59,6.775472980088226
6.53,6.628549815667369
6.93,6.840872181259846
6.9,6.777975847156747
6.82,6.709753309013872
6.34,6.443186982727587
6.48,6.42789836549782
6.69,6.42900949204152
6.85,6.817413266079555
6.66,6.586096505170506
6.44,6.470967532063744
6.5,6.525456024399091
7.47,7.166908739735124
6.5,6.503654735568469
7.12,6.767712346226668
6.8,6.653987385745624
6.61,6.667886657606961
6.59,6.582850434703203
6.7,6.595927729834675
6.43,6.587480254559136
6.36,6.477357529457524
6.61,6.690159617542941
6.73,6.776849269198166
6.35,6.53694998124628
6.86,6.789015520706615
7.26,7.016074739722084
6.72,6.7699230895469436
6.32,6.387266290979607
6.82,6.729961408032365
6.86,6.622701044566783
6.51,6.640381649090757
7.13,6.914074325159027
6.36,6.410470204769497
6.2,6.4178196267571925
6.69,6.849926521412186
6.65,6.726541326949132
6.42,6.417912228680998
6.68,6.5704146827670025
6.54,6.7351677785925395
6.73,6.8095520515796215
6.59,6.6317924978679805
6.83,6.504220416972354
6.62,6.6244856751925925
6.41,6.583267708445502
6.59,6.430494717849316
6.45,6.484128786245185
6.56,6.645373013467113
6.42,6.439257874986107
6.59,6.60669361344899
6.81,6.917976448829481
6.44,6.586074660789691
6.86,6.68738897361283
6.75,6.756678561814149
6.56,6.61466690456869
6.33,6.507463850084603
6.27,6.497761071542646
6.37,6.45516209752056
6.82,6.864343208837991
6.79,6.6525135422728585
6.46,6.643172525516
7.01,6.781689904959425
6.77,6.682402623547347
6.33,6.470122401418154
6.59,6.443273555251806
6.67,6.654079414579088
6.5,6.5560329078663075
6.68,6.824897133629316
6.87,6.743603420605722
6.28,6.4264209582761875
6.58,6.61241376654653
6.42,6.6056645918505446
6.59,6.439931987584561
6.42,6.678830200323944
6.79,6.744888451646623
6.17,6.432759138518459
6.69,6.633054071566945
6.42,6.607788691239068
6.73,6.502831370513814
6.66,6.864155324857555
6.66,6.6494045661572745
6.65,6.879323244451136
6.35,6.379121253408337
6.57,6.582732835525017
6.86,6.6895019381555345
6.57,6.533303708375979
6.59,6.462496303876743
6.32,6.518412025736858
6.61,6.549361634073024
6.86,6.709396225242307
6.4,6.49489083540207
7.14,6.830263696987345
6.87,6.75502125169809
6.79,6.80437344207168
6.68,6.748883959267663
6.5,6.556507366309476
6.94,6.8114848624225015
6.46,6.505661198885699
7.24,6.747562399346084
7.07,6.816642483289605
6.81,6.557420690821799
6.41,6.494750088422754
6.54,6.473714927159905
6.23,6.469407195649442
6.56,6.607536179115027
6.67,6.78840410087397
6.59,6.413544893320068
6.58,6.695994898389812
6.77,6.620098514215915
6.33,6.526111553472223
7.06,6.6380098958746565
6.72,6.642531592583701
6.12,6.387393988678849
6.53,6.5244298883621585
6.76,6.581118304699242
6.93,6.762798234219298
6.69,6.642433299006814
6.47,6.490258977861966
7.21,6.715390489753227
6.68,6.505264338927159
6.64,6.656286126118757
7.11,6.861396999738628
6.94,7.0035150631725935
6.68,6.707259586463436
6.63,6.777496229972195
6.68,6.539949375310142
6.59,6.698040661280442
6.36,6.40869759930838
6.85,6.920073270793317
6.15,6.422860844750159
6.45,6.615515522632514
6.49,6.498482618547063
6.74,6.683572431430172
6.29,6.599386275444971
6.59,6.585193670760241
6.41,6.497712981104671
6.48,6.55122016644873
6.74,6.617474411146597
6.65,6.615678284411053
6.3,6.540434159664743
7.04,6.955176972717372
6.87,6.757886072470541
6.66,6.477033354893134
6.7,6.857494974738446
6.65,6.667024544300738
6.43,6.4949338917826
6.48,6.5577558689221584
6.59,6.536434957061231
7.47,6.673618274304267
6.45,6.498892143537866
6.42,6.571264759878847
6.52,6.705075973225157
6.53,6.639402855778799
6.56,6.569714353589558
6.75,6.698775660848491
6.49,6.583369796362331
6.8,6.809087839664019
6.67,6.667740918038535
6.83,6.731452995228583
6.76,6.753328901787437
6.38,6.504527540779159
6.53,6.565374012866177
6.55,6.5461653639314346
6.25,6.468008131761139
6.4,6.5229448390778595
6.96,6.639754278572198
6.48,6.558850515584639
6.75,6.655965557119636
6.7,6.615654120328071
6.57,6.7122522364162736
